ID,RAM,HDD,SSD1,SSD2,OS,CHIPSET,SCREEN SIZE,RESOLUTION,GRAPHICS CARD,GPU MEMORY,PRICE
IdeaPad C340i,8,0,512.00,0.00,Windows-Home,Intel-i5-10,14,FHD Touch,MX 230,2,79990
IdeaPad C340i,16,0,1024.00,0.00,Windows-Home,Intel-i7-8,14,FHD Touch,MX 230,2,90990
IdeaPad C340i,4,0,256.00,0.00,Windows-Home,Intel-i3-10,14,FHD Touch,Integrated,0,44990
IdeaPad C340a,8,0,512.00,0.00,Windows-Home,AMD-Ryzen-5,14,FHD Touch,Integrated,0,79990
IdeaPad C340a,8,0,1024.00,0.00,Windows-Home,AMD-Ryzen-5,14,FHD Touch,Radeon Vega 8,0,90990
IdeaPad C340a,8,0,256.00,0.00,Windows-Home,AMD-R7,14,FHD Touch,Integrated,0,44990
IdeaPad D330,4,0,64.00,0.00,Windows-Home,Celeron N4000,10.1,HD,Intel UHD,0,22999
IdeaPad D330,4,0,128.00,0.00,Windows-Home, Gemini Lake Celeron N4000,10.1,HD Touch,Intel UHD,0,24999
IdeaPad D330,4,0,128.00,0.00,Windows-Home, Gemini Lake Celeron N4000,10.1,HD Touch,Integrated,0,29999
IdeaPad Gaming 3i,8,1024,256.00,0.00,Windows-Home,Intel-i5-10,15.6,FHD,GTX 1650,4,71990
IdeaPad Gaming 3i,8,1024,256.00,0.00,Windows-Home,Intel-i5-10,15.6,FHD,GTX 1650ti,4,76990
 Slim 5(14) AMD,8,0,512.00,0.00,Windows-Home,AMD-Ryzen-7,14,FHD,Integrated,0,60990
S145 (15AMD),4,1024,256.00,0.00,Windows-Home,AMD-Ryzen-3,15.6,FHD,Integrated AMD Radeon Vega 3,0,34229
S145 (15AMD),4,0,512.00,0.00,Windows-Home,AMD-Ryzen-3,15.6,FHD,Integrated AMD Radeon Vega 3,0,33990
S145 (15AMD),8,0,512.00,0.00,Windows-Home,AMD-Ryzen-5,15.6,FHD,Integrated,0,42990
S145(15i),4,0,256.00,0.00,Windows-Home,Intel-i3-10,15.6,FHD,Intel UHD,0,33990
S145(15i),4,1024,256.00,0.00,Windows-Home,Intel-i3-7,15.6,FHD,Intel HD,0,35834
S145(15i),4,1024,0.00,0.00,Windows-Home,Intel-i5-8,15.6,FHD,Integrated,0,39295
S340(14i),8,0,512.00,0.00,Windows-Home,Intel-i5-10,14,FHD,Intel UHD,0,59580
S340(14i),8,0,512.00,0.00,Windows-Home,Intel-i5-10,14,FHD,MX230,2,62490
S340(14i),4,1024,0.00,0.00,Windows-Home,Intel-i3-10,14,FHD,Integrated,0,37990
S340(14i),4,1024,0.00,0.00,Windows-Home,Intel-i3-10,14,FHD,Intel UHD,0,38990
S340(14i),8,0,256.00,0.00,Windows-Home,Intel-i3-10,14,FHD,Intel UHD,0,40990
S340(14i),8,0,512.00,0.00,Windows-Home,Intel-i3-8,14,FHD,MX110,2,49290
S340(15i),8,1024,256.00,0.00,Windows-Home,Intel-i5-10,15.6,FHD,MX250,2,63299
S340(15i),4,1024,256.00,0.00,Windows-Home,Intel-i5-10,15.6,FHD,MX250,2,63990
S540(13i),8,0,512.00,0.00,Windows-Home,Intel-i5-10,13.3,QHD,MX250,2,81490
S540(14i),8,0,512.00,0.00,Windows-Home,Intel-i5-10,14,FHD,MX250,2,65990
S540(14i),8,0,1024.00,0.00,Windows-Home,Intel-i7-8,14,FHD,MX250,2,83990
S540(15i),8,1024,128.00,0.00,Windows-Home,Intel-i5-8,15.6,FHD,MX250,2,64990
S540(15i),8,1024,256.00,0.00,Windows-Home,Intel-i5-10,15.6,FHD,MX250,2,66490
S540(15i),8,0,1024.00,0.00,Windows-Home,Intel-i7-8,15.6,FHD,MX250,2,89990
IdeaPad 530S,8,0,512.00,0.00,Windows-Home,Intel-i5-8,15.6,FHD, MX150,2,65990
IdeaPad 530S,8,0,256.00,0.00,Windows-Home,Intel-i5-8,15.6,FHD, MX150,2,61690
